,0,1,2,3,4,5,6,7,8,9
2,0.6673967296095582,0.663466003110822,0.6770999602016771,0.671954591562166,0.6959953302071253,0.6604692027517749,0.6548500911283642,0.6724647235342183,0.659132564132052,0.8371447702812459
3,0.5004896978273905,0.4978762226952934,0.47649072895561756,0.5187340653421899,0.6802700725832722,0.5027447562937605,0.5135526628164798,0.6554556935993455,0.5024489621115801,0.6666666666666674
4,0.5084528164503948,0.3354181365803264,0.33333333333333315,0.32858891717437083,0.4915352512086853,0.3318994299805396,0.3309738121402033,0.5006204745307448,0.3147563144509251,0.5000000000000009
5,0.33028275602785395,0.3354181365803264,0.16666666666666663,0.34505878473857365,0.34896990093278596,0.1700379297373704,0.1761367774789644,0.34576018665022784,0.1742750716169917,0.33333333333333426
6,0.1666666666666672,7.000961643747617e-30,0.16666666666666663,0.16380612148172635,0.16261516884472055,2.8180278798459524e-30,2.0522596460809758e-30,0.1666666666666672,7.762687250489303e-30,0.15072669279067424
7,0.1666666666666672,0.16625937420167475,2.4804436115786525e-30,5.5580308015515095e-31,3.0102221406301118e-30,2.264524109033441e-30,2.761723249855071e-30,2.1923264395618508e-30,2.749470879530011e-31,7.205113973463821e-31
8,0.1666666666666672,6.994142594301385e-31,1.116986135986703e-30,1.2789603885557478e-30,1.5153341364537296e-30,4.518311657782873e-31,5.1287186743451275e-31,2.9532676991533254e-30,9.902375899078727e-31,5.059251496589974e-30
9,0.1666666666666672,0.17054621446052995,6.928496326377778e-31,8.206504030424435e-31,5.963494738199008e-31,1.0531525182664206e-30,1.4849492228754323e-30,8.760577261750525e-31,1.4524945340717206e-30,2.012808543869693e-30
10,0.1666666666666672,8.67234047325695e-31,4.271915503244113e-31,4.844984544156543e-31,9.92830509228945e-31,5.011021833017651e-31,1.3883303174840995e-30,3.0899200378504605e-30,5.623307920960914e-31,9.731419619391217e-31
15,1.783327348281109e-29,1.0804316691916907e-30,4.577703262817769e-31,1.0966826345367913e-30,1.1674297661310046e-29,6.444353121729662e-30,6.3004079760759e-31,3.7240164488951207e-31,1.000852403906111e-30,1.5663297413681886e-30
20,5.5088611461222405e-31,5.080607802724075e-31,8.568286927775755e-30,3.7315069048899513e-31,6.119872559337987e-31,6.876556092710307e-31,7.496618003388734e-31,5.540267262319964e-31,3.8962851146616106e-31,3.5287322635090577e-31
25,3.347435717537543e-31,8.717731792797121e-31,7.261336308401306e-31,4.5232938431855735e-31,3.404062655391544e-31,3.7333217786061466e-31,1.4730601497149194e-30,2.7430252238118687e-31,6.069483840886007e-31,5.824180993118443e-31
30,6.023632808268773e-31,3.1339378473966358e-30,4.153869794896837e-30,5.854162365382233e-31,3.781304039950035e-31,4.420795321341357e-31,5.76964340504569e-31,1.4194748771579835e-31,4.225991125750152e-31,8.08619554068037e-31
35,3.6240330281981444e-31,3.224096049547983e-31,5.174918972829261e-31,4.791458081246122e-31,3.9200814431560825e-31,3.098114103117608e-31,4.094837314655936e-31,6.5076036584273465e-31,3.880883884702068e-31,1.5919852239659262e-30
40,6.042819706216782e-31,3.81127651577404e-31,1.1327534853719725e-29,7.587463698523626e-30,2.720665891261022e-31,3.1662566284542535e-31,2.757984724638396e-31,3.4089530343122725e-31,4.889405375560674e-31,3.4682000990691e-31
45,3.072201460867344e-31,4.550407230151661e-31,6.860413078795621e-31,5.463204927624008e-31,5.419892735915481e-31,2.8679315847014396e-31,6.230125253923636e-31,4.566472671888031e-31,5.910397537464375e-31,4.577549814158386e-31
50,6.645391072979007e-31,2.135739149975467e-31,2.948506138292382e-31,2.8978494650448347e-30,7.856241857801927e-31,5.838967162638281e-31,3.871715142210188e-31,4.278629353782574e-31,6.396309913205402e-31,4.5419160500670515e-31
55,7.0660026014906936e-31,6.581287447714165e-31,4.6500470810915066e-31,6.762368461012278e-31,8.750640320639334e-31,2.2984962199847422e-31,5.128622843567575e-31,3.8100026172459685e-31,1.6064060232716248e-30,3.229472174080987e-31
60,3.9645966604126466e-31,3.336146183216154e-31,1.9719177212547354e-29,1.862383904978627e-31,2.8479171745550415e-31,6.5450142027544535e-31,3.6517144379176087e-31,1.1134124763679156e-29,3.792980730612737e-31,2.5977405203219613e-30
